Frame ID,QR ID,QR 2D,Distance,Yaw,Pitch,Roll
41,998,"[[238.0, 166.0], [235.0, 148.0], [241.0, 146.0], [241.0, 162.0]]",3.2043800668817317,-86.62687096760057,21.143880266425104,-82.8096464822265
42,998,"[[238.0, 166.0], [235.0, 148.0], [241.0, 146.0], [241.0, 162.0]]",3.2043800668817317,-86.62687096760057,21.143880266425104,-82.8096464822265
43,998,"[[238.0, 166.0], [235.0, 148.0], [241.0, 146.0], [241.0, 161.0]]",3.277384875609192,-85.93294794664912,23.059541983196592,-83.05492426192015
225,9,"[[640.0, 21.0], [661.0, 24.0], [656.0, 48.0], [635.0, 44.0]]",2.267945082566824,15.765273278297663,18.96170480175036,-170.38425925894836
227,9,"[[644.0, 34.0], [666.0, 38.0], [661.0, 62.0], [638.0, 57.0]]",2.207888075959862,14.195058798958591,9.615788254077557,-175.99049299489096
228,8,"[[596.0, 22.0], [608.0, 24.0], [605.0, 38.0], [593.0, 36.0]]",3.80515929433867,16.746532880484565,21.961513172889692,-170.50759675468262
229,9,"[[656.0, 45.0], [677.0, 49.0], [672.0, 74.0], [650.0, 69.0]]",2.161834523372887,18.207725043463896,20.59664880470488,-166.12247552018533
230,9,"[[719.0, 69.0], [743.0, 74.0], [735.0, 100.0], [712.0, 95.0]]",1.9769453147626381,6.028600543195878,-20.015991589303063,-153.53234890435485
230,8,"[[659.0, 51.0], [672.0, 54.0], [668.0, 68.0], [655.0, 66.0]]",3.5413760840575232,2.685127350717186,-25.28491923336712,-148.96979907925245
231,9,"[[710.0, 107.0], [736.0, 110.0], [731.0, 139.0], [704.0, 136.0]]",1.7725117878740386,12.979651460889205,24.54867327675587,-173.89586790516736
231,8,"[[639.0, 94.0], [652.0, 95.0], [650.0, 110.0], [636.0, 108.0]]",3.5381467402272158,11.057968197270007,17.986967139898255,-176.55319614454746
232,9,"[[719.0, 98.0], [746.0, 101.0], [742.0, 130.0], [713.0, 127.0]]",1.772588745029942,10.388991903131167,15.978140081985426,-176.9718645345289
232,8,"[[646.0, 85.0], [660.0, 86.0], [657.0, 102.0], [643.0, 101.0]]",3.1996164981144686,12.040908746070443,27.397810377593256,-177.19964289272073
233,9,"[[722.0, 88.0], [750.0, 91.0], [745.0, 120.0], [716.0, 116.0]]",1.7642643548069676,10.537296827173618,12.717203470761447,178.13914967537283
234,9,"[[729.0, 77.0], [758.0, 79.0], [752.0, 109.0], [724.0, 105.0]]",1.7592839109583482,10.790901506288279,16.408842494604816,-179.45198531666517
235,9,"[[744.0, 75.0], [773.0, 76.0], [770.0, 107.0], [739.0, 104.0]]",1.7107756206199687,7.396338799075784,12.399368183762908,179.03639215227227
236,9,"[[752.0, 70.0], [782.0, 72.0], [777.0, 103.0], [748.0, 100.0]]",1.7329398441738935,9.442190370723505,15.18672210063219,-173.08296576483622
237,9,"[[755.0, 56.0], [784.0, 57.0], [779.0, 89.0], [750.0, 86.0]]",1.712950073951149,11.318001053101336,23.008571621343613,-172.70867305372425
238,9,"[[753.0, 48.0], [784.0, 49.0], [779.0, 82.0], [750.0, 80.0]]",1.6640113944340553,10.454268866809947,22.98161932239825,-168.04586657533068
239,9,"[[752.0, 57.0], [782.0, 59.0], [778.0, 91.0], [746.0, 88.0]]",1.6536599560156555,9.178640179275947,14.67670438117379,-178.4794904024517
239,8,"[[674.0, 46.0], [688.0, 46.0], [686.0, 63.0], [671.0, 63.0]]",3.0956060694217093,10.59284208274499,30.87553302803165,-175.65685819591576
240,9,"[[721.0, 66.0], [754.0, 70.0], [747.0, 104.0], [715.0, 100.0]]",1.5330659656516972,4.401702330717022,-9.49364651140051,-152.40209284256665
240,8,"[[636.0, 50.0], [651.0, 51.0], [649.0, 68.0], [633.0, 67.0]]",3.087520258742695,10.00620453034984,20.190474847231837,-175.8792017577447
241,9,"[[657.0, 69.0], [694.0, 72.0], [688.0, 113.0], [651.0, 108.0]]",1.3108087040189493,11.126336300270262,17.71539317088415,-171.6915612512876
241,8,"[[561.0, 48.0], [577.0, 49.0], [575.0, 68.0], [559.0, 67.0]]",2.8218946212800886,10.954089777803114,23.760411941354224,-170.39862493409916
242,9,"[[666.0, 64.0], [704.0, 68.0], [698.0, 110.0], [660.0, 104.0]]",1.2921426514463572,11.859786349692314,15.433020388037555,-166.63946874309195
243,9,"[[680.0, 72.0], [719.0, 77.0], [712.0, 119.0], [672.0, 113.0]]",1.2526910845177144,11.642997535021774,13.511302097250702,-173.78043488239285
